CancerClassificationExperiment05-12-2021_637742592000000000.txt
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :15.384615384615385 	 
cycle : 2 	 Accuracy :23.076923076923077 	 
Cycle: 3 	 Saturated Accuracy : 23.076923076923077 	 Number of times repeated 1
cycle : 4 	 Accuracy :30.76923076923077 	 
Cycle: 5 	 Saturated Accuracy : 30.76923076923077 	 Number of times repeated 1
cycle : 6 	 Accuracy :38.46153846153847 	 
Cycle: 7 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 1
Cycle: 8 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 2
Cycle: 9 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 3
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :30.76923076923077 	 
Cycle: 5 	 Saturated Accuracy : 30.76923076923077 	 Number of times repeated 1
Cycle: 6 	 Saturated Accuracy : 30.76923076923077 	 Number of times repeated 2
Cycle: 7 	 Saturated Accuracy : 30.76923076923077 	 Number of times repeated 3
Cycle: 8 	 Saturated Accuracy : 30.76923076923077 	 Number of times repeated 4
Cycle: 9 	 Saturated Accuracy : 30.76923076923077 	 Number of times repeated 5
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :50 	 
Cycle: 2 	 Saturated Accuracy : 50 	 Number of times repeated 1
Cycle: 3 	 Saturated Accuracy : 50 	 Number of times repeated 2
Cycle: 4 	 Saturated Accuracy : 50 	 Number of times repeated 3
Cycle: 5 	 Saturated Accuracy : 50 	 Number of times repeated 4
Cycle: 6 	 Saturated Accuracy : 50 	 Number of times repeated 5
Cycle: 7 	 Saturated Accuracy : 50 	 Number of times repeated 6
Cycle: 8 	 Saturated Accuracy : 50 	 Number of times repeated 7
Cycle: 9 	 Saturated Accuracy : 50 	 Number of times repeated 8
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :17.647058823529413 	 
Cycle: 2 	 Saturated Accuracy : 17.647058823529413 	 Number of times repeated 1
cycle : 3 	 Accuracy :23.52941176470588 	 
Cycle: 4 	 Saturated Accuracy : 23.52941176470588 	 Number of times repeated 1
cycle : 5 	 Accuracy :29.411764705882355 	 
Cycle: 6 	 Saturated Accuracy : 29.411764705882355 	 Number of times repeated 1
cycle : 7 	 Accuracy :23.52941176470588 	 
Cycle: 8 	 Saturated Accuracy : 23.52941176470588 	 Number of times repeated 1
Cycle: 9 	 Saturated Accuracy : 23.52941176470588 	 Number of times repeated 2
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :21.428571428571427 	 
cycle : 2 	 Accuracy :25 	 
Cycle: 3 	 Saturated Accuracy : 25 	 Number of times repeated 1
Cycle: 4 	 Saturated Accuracy : 25 	 Number of times repeated 2
Cycle: 5 	 Saturated Accuracy : 25 	 Number of times repeated 3
Cycle: 6 	 Saturated Accuracy : 25 	 Number of times repeated 4
cycle : 7 	 Accuracy :21.428571428571427 	 
cycle : 8 	 Accuracy :28.57142857142857 	 
cycle : 9 	 Accuracy :32.142857142857146 	 
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :11.11111111111111 	 
Cycle: 4 	 Saturated Accuracy : 11.11111111111111 	 Number of times repeated 1
Cycle: 5 	 Saturated Accuracy : 11.11111111111111 	 Number of times repeated 2
Cycle: 6 	 Saturated Accuracy : 11.11111111111111 	 Number of times repeated 3
Cycle: 7 	 Saturated Accuracy : 11.11111111111111 	 Number of times repeated 4
Cycle: 8 	 Saturated Accuracy : 11.11111111111111 	 Number of times repeated 5
Cycle: 9 	 Saturated Accuracy : 11.11111111111111 	 Number of times repeated 6
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :7.6923076923076925 	 
cycle : 2 	 Accuracy :15.384615384615385 	 
Cycle: 3 	 Saturated Accuracy : 15.384615384615385 	 Number of times repeated 1
cycle : 4 	 Accuracy :23.076923076923077 	 
cycle : 5 	 Accuracy :26.923076923076923 	 
cycle : 6 	 Accuracy :19.230769230769234 	 
Cycle: 7 	 Saturated Accuracy : 19.230769230769234 	 Number of times repeated 1
Cycle: 8 	 Saturated Accuracy : 19.230769230769234 	 Number of times repeated 2
cycle : 9 	 Accuracy :23.076923076923077 	 
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :9.67741935483871 	 
cycle : 2 	 Accuracy :12.903225806451612 	 
cycle : 3 	 Accuracy :16.129032258064516 	 
Cycle: 4 	 Saturated Accuracy : 16.129032258064516 	 Number of times repeated 1
cycle : 5 	 Accuracy :19.35483870967742 	 
Cycle: 6 	 Saturated Accuracy : 19.35483870967742 	 Number of times repeated 1
cycle : 7 	 Accuracy :22.58064516129032 	 
cycle : 8 	 Accuracy :19.35483870967742 	 
Cycle: 9 	 Saturated Accuracy : 19.35483870967742 	 Number of times repeated 1
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :25 	 
cycle : 2 	 Accuracy :31.25 	 
cycle : 3 	 Accuracy :37.5 	 
cycle : 4 	 Accuracy :43.75 	 
cycle : 5 	 Accuracy :37.5 	 
cycle : 6 	 Accuracy :43.75 	 
Cycle: 7 	 Saturated Accuracy : 43.75 	 Number of times repeated 1
Cycle: 8 	 Saturated Accuracy : 43.75 	 Number of times repeated 2
Cycle: 9 	 Saturated Accuracy : 43.75 	 Number of times repeated 3
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :21.73913043478261 	 
cycle : 2 	 Accuracy :39.130434782608695 	 
cycle : 3 	 Accuracy :43.47826086956522 	 
Cycle: 4 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 1
Cycle: 5 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 2
Cycle: 6 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 3
Cycle: 7 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 4
Cycle: 8 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 5
Cycle: 9 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 6
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :7.6923076923076925 	 
Cycle: 2 	 Saturated Accuracy : 7.6923076923076925 	 Number of times repeated 1
cycle : 3 	 Accuracy :15.384615384615385 	 
cycle : 4 	 Accuracy :23.076923076923077 	 
Cycle: 5 	 Saturated Accuracy : 23.076923076923077 	 Number of times repeated 1
Cycle: 6 	 Saturated Accuracy : 23.076923076923077 	 Number of times repeated 2
Cycle: 7 	 Saturated Accuracy : 23.076923076923077 	 Number of times repeated 3
Cycle: 8 	 Saturated Accuracy : 23.076923076923077 	 Number of times repeated 4
Cycle: 9 	 Saturated Accuracy : 23.076923076923077 	 Number of times repeated 5
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :5.88235294117647 	 
cycle : 1 	 Accuracy :23.52941176470588 	 
Cycle: 2 	 Saturated Accuracy : 23.52941176470588 	 Number of times repeated 1
cycle : 3 	 Accuracy :29.411764705882355 	 
Cycle: 4 	 Saturated Accuracy : 29.411764705882355 	 Number of times repeated 1
Cycle: 5 	 Saturated Accuracy : 29.411764705882355 	 Number of times repeated 2
Cycle: 6 	 Saturated Accuracy : 29.411764705882355 	 Number of times repeated 3
Cycle: 7 	 Saturated Accuracy : 29.411764705882355 	 Number of times repeated 4
Cycle: 8 	 Saturated Accuracy : 29.411764705882355 	 Number of times repeated 5
Cycle: 9 	 Saturated Accuracy : 29.411764705882355 	 Number of times repeated 6
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :23.076923076923077 	 
cycle : 3 	 Accuracy :30.76923076923077 	 
cycle : 4 	 Accuracy :38.46153846153847 	 
Cycle: 5 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 1
Cycle: 6 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 2
Cycle: 7 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 3
Cycle: 8 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 4
Cycle: 9 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 5
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :15.384615384615385 	 
Cycle: 5 	 Saturated Accuracy : 15.384615384615385 	 Number of times repeated 1
Cycle: 6 	 Saturated Accuracy : 15.384615384615385 	 Number of times repeated 2
Cycle: 7 	 Saturated Accuracy : 15.384615384615385 	 Number of times repeated 3
Cycle: 8 	 Saturated Accuracy : 15.384615384615385 	 Number of times repeated 4
Cycle: 9 	 Saturated Accuracy : 15.384615384615385 	 Number of times repeated 5
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :10 	 
cycle : 1 	 Accuracy :50 	 
Cycle: 2 	 Saturated Accuracy : 50 	 Number of times repeated 1
Cycle: 3 	 Saturated Accuracy : 50 	 Number of times repeated 2
Cycle: 4 	 Saturated Accuracy : 50 	 Number of times repeated 3
Cycle: 5 	 Saturated Accuracy : 50 	 Number of times repeated 4
Cycle: 6 	 Saturated Accuracy : 50 	 Number of times repeated 5
Cycle: 7 	 Saturated Accuracy : 50 	 Number of times repeated 6
Cycle: 8 	 Saturated Accuracy : 50 	 Number of times repeated 7
Cycle: 9 	 Saturated Accuracy : 50 	 Number of times repeated 8
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :11.76470588235294 	 
Cycle: 2 	 Saturated Accuracy : 11.76470588235294 	 Number of times repeated 1
cycle : 3 	 Accuracy :17.647058823529413 	 
